AMOSTRA;DATAENTRADA;Nş IDENT.;IDENTIFICACAO;Nş LAB.;P;M.O.;pH;K;Na;Ca;Mg;H+AL;Si;S;AL;SB;T;V;B;Cu;Fe;Mn;Zn;Argila;Silte;Areia Fina;Areia Grossa;Areia Total;SOArgila
050977;12/07/2022;"""0-20""";GRIDE 01;050977;7;18;5.2;5.3;;34;10;21;;3;0;49.3;70;70;0.20;0.7;22;16.3;0.4;;;;;;
050993;12/07/2022;"""20-40""";GRIDE 01;050993;5;18;5.0;2.8;;32;10;25;;3;0;44.8;70;64;;;;;;;;;;;
050978;12/07/2022;"""0-20""";GRIDE 02;050978;5;15;5.1;3.8;;24;7;22;;3;0;34.8;57;61;0.17;0.6;34;17.8;0.4;;;;;;
050994;12/07/2022;"""20-40""";GRIDE 02;050994;4;13;5.2;2.4;;28;8;20;;3;0;38.4;58;66;;;;;;;;;;;
050979;12/07/2022;"""0-20""";GRIDE 03;050979;9;20;5.4;6.1;;45;13;25;;3;0;64.1;89;72;0.18;0.4;31;22.2;1.8;;;;;;
050995;12/07/2022;"""20-40""";GRIDE 03;050995;9;17;5.1;4.2;;48;12;29;;3;0;64.2;93;69;;;;;;;;;;;
050980;12/07/2022;"""0-20""";GRIDE 04;050980;6;18;5.0;3.8;;30;7;29;;3;0;40.8;70;58;0.16;0.7;26;51.5;0.7;;;;;;
050996;12/07/2022;"""20-40""";GRIDE 04;050996;4;17;5.0;2.2;;29;7;29;;4;0;38.2;67;57;;;;;;;;;;;
050981;12/07/2022;"""0-20""";GRIDE 05;050981;6;16;5.2;3.3;;27;6;20;;3;0;36.3;56;65;0.12;0.7;23;42.9;0.8;;;;;;94
050997;12/07/2022;"""20-40""";GRIDE 05;050997;4;14;5.3;2.2;;28;7;19;;3;0;37.2;56;66;;;;;;;;;;;
050982;12/07/2022;"""0-20""";GRIDE 06;050982;5;17;4.8;4.3;;26;6;29;;3;0;36.3;65;56;0.20;0.6;32;28.2;0.4;;;;;;
050998;12/07/2022;"""20-40""";GRIDE 06;050998;5;15;4.9;2.8;;29;6;25;;3;0;37.8;63;60;;;;;;;;;;;
050983;12/07/2022;"""0-20""";GRIDE 07;050983;8;18;4.8;5.6;;20;7;26;;3;0;32.6;59;55;0.18;0.6;25;29.9;0.5;;;;;;
050999;12/07/2022;"""20-40""";GRIDE 07;050999;8;14;4.9;4.0;;23;6;24;;3;0;33.0;57;58;;;;;;;;;;;
050984;12/07/2022;"""0-20""";GRIDE 08;050984;5;16;5.4;4.7;;27;9;19;;3;0;40.7;60;68;0.12;0.6;16;10.4;0.4;;;;;;
051000;12/07/2022;"""20-40""";GRIDE 08;051000;4;13;5.1;3.3;;23;9;22;;4;0;35.3;57;62;;;;;;;;;;;
050985;12/07/2022;"""0-20""";GRIDE 09;050985;7;23;4.7;4.5;;22;6;31;;3;0;32.5;64;51;0.19;0.6;44;35.5;0.6;;;;;;
051001;12/07/2022;"""20-40""";GRIDE 09;051001;11;16;4.8;3.1;;22;6;28;;3;0;31.1;59;53;;;;;;;;;;;
050986;12/07/2022;"""0-20""";GRIDE 10;050986;6;17;5.0;4.2;;27;6;28;;3;0;37.2;65;57;0.16;0.4;28;15.0;0.5;;;;;;110
051002;12/07/2022;"""20-40""";GRIDE 10;051002;6;15;5.3;2.7;;31;6;22;;3;0;39.7;62;64;;;;;;;;;;;
050987;12/07/2022;"""0-20""";GRIDE 11;050987;13;19;5.3;6.2;;30;7;24;;3;0;43.2;67;64;0.17;0.7;25;39.9;1.1;;;;;;
051003;12/07/2022;"""20-40""";GRIDE 11;051003;9;16;5.3;3.4;;31;6;22;;3;0;40.4;62;65;;;;;;;;;;;
050988;12/07/2022;"""0-20""";GRIDE 12;050988;8;17;5.4;3.5;;22;6;17;;3;0;31.5;49;64;0.12;0.5;29;29.0;0.7;;;;;;
051004;12/07/2022;"""20-40""";GRIDE 12;051004;6;13;5.5;2.6;;24;6;17;;3;0;32.6;50;65;;;;;;;;;;;
050989;12/07/2022;"""0-20""";GRIDE 13;050989;5;19;5.0;3.2;;21;6;21;;3;0;30.2;51;59;0.12;0.6;28;49.0;0.7;;;;;;
051005;12/07/2022;"""20-40""";GRIDE 13;051005;5;12;5.1;2.6;;19;5;22;;3;0;26.6;49;54;;;;;;;;;;;
050990;12/07/2022;"""0-20""";GRIDE 14;050990;10;17;5.1;3.5;;23;5;21;;3;0;31.5;53;59;0.15;0.8;25;40.4;1.0;;;;;;
051006;12/07/2022;"""20-40""";GRIDE 14;051006;10;15;5.2;2.7;;26;6;20;;3;0;34.7;55;63;;;;;;;;;;;
050991;12/07/2022;"""0-20""";GRIDE 15;050991;9;20;5.2;5.0;;30;7;24;;3;0;42.0;66;64;0.15;0.6;30;29.1;0.8;;;;;;115
051007;12/07/2022;"""20-40""";GRIDE 15;051007;7;16;5.1;3.7;;28;7;25;;3;0;38.7;64;60;;;;;;;;;;;
050992;12/07/2022;"""0-20""";GRIDE 16;050992;7;19;4.9;5.2;;26;6;26;;3;0;37.2;63;59;0.16;0.6;29;49.1;0.6;;;;;;
051008;12/07/2022;"""20-40""";GRIDE 16;051008;5;13;5.0;3.2;;22;5;21;;3;0;30.2;51;59;;;;;;;;;;;
